TIME_STAMP,ZIP_CODE,STATE,FORM_NAME,FORM_SITE,PRICE,REQUESTS_COUNT,CREDIT_SCORE_CATEGORY,SERVICE_TYPE_CATEGORY,BANK_CATEGORY,PAYMENT_CATEGORY,PURCHASE_TIME_CATEGORY,SERVICE_PURPOSE_CATEGORY,CONTACT_TYPE_CATEGORY,CONTACT_STATUS_CATEGORY,CUSTOMER_TYPE_CATEGORY,NEW_CUSTOMER,DUPE_COUNTER,CON_EMAIL
10/20/2015 5:13,39852,GA,Request Type 1,www.rug.com,85100,2,103,12,82,50,32,1,BY EMAIL,ON HOLD,WAITLIST,n,1,18hiltc@abcds.cn
12/20/2015 8:13,7481,NJ,Request Type 2,www.rug.com,287400,3,105,10,80,45,28,1,BY PHONE,ON HOLD,VIP,n,1,18john_a@abcds.k12.ia.us
11/12/2015 3:13,32655,FL,Request Type 1,app.rug.com,121900,0,106,14,81,50,31,1,BY EMAIL,CALLED,WAITLIST,y,1,1985crp@blahh.com
1/15/2016 20:13,7044,NJ,Request Type 2,www.rug.com,132700,2,103,14,80,50,31,3,BY EMAIL,ON HOLD,VIP,n,1,14792266002@blahh.com
11/12/2015 18:13,61941,IL,Request Type 2,app.rug.com,102400,1,100,12,82,50,0,1,BY EMAIL,ON HOLD,WAITLIST,n,1,11edc5677@blahh.com
12/2/2015 12:13,95223,CA,Request Type 2,app.rug.com,142300,1,99,14,82,45,31,3,BY PHONE,CALLED,WAITLIST,n,1,1973n2000@blahh.com
12/22/2015 18:13,38077,TN,Request Type 2,m.rug.com,152100,3,102,11,81,32,0,1,BY PHONE,ON HOLD,VIP,n,1,1985crp@blahh.com
10/16/2015 18:13,50484,IA,Request Type 1,app.rug.com,199000,3,104,10,81,50,31,1,BY EMAIL,ON HOLD,WAITLIST,n,1,18dmart9@blahh.com
1/7/2016 10:13,13139,NY,Request Type 2,app.rug.com,164700,0,105,13,83,27,30,2,BY PHONE,CALLED,VIP,n,1,11edc5677@blahh.com
12/5/2015 3:13,30182,GA,Request Type 1,www.rug.com,187500,1,101,10,82,45,30,2,BY EMAIL,CALLED,VIP,y,0,14792266002@blahh.com
10/2/2015 20:13,64446,MO,Request Type 1,m.rug.com,136700,2,103,11,80,32,31,1,BY PHONE,ON HOLD,WAITLIST,n,1,18john_a@abcds.k12.ia.us
11/17/2015 0:13,32877,FL,Request Type 1,www.rug.com,152900,0,100,13,80,24,28,3,BY EMAIL,ON HOLD,VIP,y,1,11edc5677@blahh.com
1/18/2016 12:13,32501,FL,Request Type 2,app.rug.com,168300,1,101,12,80,27,31,2,BY PHONE,ON HOLD,VIP,n,1,1985crp@blahh.com
11/19/2015 22:13,62215,IL,Request Type 1,m.rug.com,122900,1,106,12,82,32,28,3,BY PHONE,CALLED,WAITLIST,n,1,14792266002@blahh.com
11/6/2015 0:13,40312,KY,Request Type 2,app.rug.com,96700,2,104,11,80,50,30,1,BY PHONE,ON HOLD,WAITLIST,n,1,11edc5677@blahh.com
1/31/2016 21:13,73083,OK,Request Type 2,app.rug.com,91800,3,104,14,82,45,32,3,BY EMAIL,ON HOLD,WAITLIST,n,1,18john_a@abcds.k12.ia.us
1/6/2016 5:13,61606,IL,Request Type 2,m.rug.com,177900,3,106,12,81,50,31,1,BY PHONE,ON HOLD,VIP,n,1,18john_a@abcds.k12.ia.us
1/22/2016 17:13,27528,NC,Request Type 1,app.rug.com,179100,0,100,13,83,32,28,2,BY PHONE,ON HOLD,WAITLIST,y,1,11edc5677@blahh.com
11/8/2015 2:13,80024,CO,Request Type 2,m.rug.com,177800,2,104,10,81,45,28,1,BY EMAIL,ON HOLD,WAITLIST,n,1,18dmart9@blahh.com
10/28/2015 9:13,72061,AR,Request Type 1,app.rug.com,110600,3,102,13,81,50,29,2,BY EMAIL,CALLED,WAITLIST,n,1,123delgado67@blahh.com
10/27/2015 21:13,11366,NY,Request Type 2,app.rug.com,76500,0,99,13,83,24,30,2,BY EMAIL,ON HOLD,VIP,n,1,18john_a@abcds.k12.ia.us
12/30/2015 11:13,601,PR,Request Type 1,www.rug.com,155600,1,105,14,81,50,31,2,BY EMAIL,ON HOLD,VIP,n,1,1985crp@blahh.com
1/15/2016 3:13,72906,AR,Request Type 1,app.rug.com,136100,3,105,10,80,24,30,3,BY EMAIL,CALLED,VIP,n,1,18john_a@abcds.k12.ia.us
10/13/2015 17:13,68107,NE,Request Type 1,www.rug.com,84900,0,106,11,80,45,29,2,BY PHONE,ON HOLD,WAITLIST,n,1,18dmart9@blahh.com
10/22/2015 18:13,94599,CA,Request Type 2,m.rug.com,123300,1,105,14,83,24,30,2,BY EMAIL,ON HOLD,VIP,n,1,1965nevarez@blahh.com
1/23/2016 13:13,40360,KY,Request Type 1,app.rug.com,181200,2,99,12,82,27,0,1,BY EMAIL,ON HOLD,WAITLIST,n,1,1222lynnann@blahh.com
1/24/2016 3:13,16347,PA,Request Type 1,www.rug.com,198800,3,101,12,83,24,0,3,BY PHONE,ON HOLD,VIP,n,1,1222lynnann@blahh.com
12/17/2015 16:13,87194,NM,Request Type 1,m.rug.com,168900,1,99,11,82,32,28,2,BY PHONE,ON HOLD,WAITLIST,n,1,18hiltc@abcds.cn
1/8/2016 7:13,38133,TN,Request Type 1,m.rug.com,103300,1,104,11,82,50,32,2,BY EMAIL,CALLED,WAITLIST,y,1,1222lynnann@blahh.com
10/14/2015 0:13,75206,TX,Request Type 2,app.rug.com,81700,1,106,14,81,50,0,3,BY EMAIL,ON HOLD,VIP,y,1,18dmart9@blahh.com
11/23/2015 17:13,95297,CA,Request Type 2,www.rug.com,130500,2,102,11,81,50,31,2,BY PHONE,CALLED,VIP,n,1,1973n2000@blahh.com
10/28/2015 9:13,88350,NM,Request Type 1,m.rug.com,174700,0,102,10,80,45,31,3,BY EMAIL,ON HOLD,VIP,n,1,14792266002@blahh.com
11/19/2015 1:13,27922,NC,Request Type 1,app.rug.com,124100,2,106,13,82,24,28,2,BY EMAIL,ON HOLD,WAITLIST,n,0,1973n2000@blahh.com
1/22/2016 23:13,62912,IL,Request Type 2,www.rug.com,104400,0,105,10,81,50,32,1,BY EMAIL,ON HOLD,WAITLIST,y,1,18dmart9@blahh.com
1/19/2016 19:13,96129,CA,Request Type 1,www.rug.com,125700,0,106,12,80,32,28,3,BY EMAIL,ON HOLD,WAITLIST,n,1,18john_a@abcds.k12.ia.us
11/15/2015 10:13,93002,CA,Request Type 1,m.rug.com,167600,0,103,14,83,32,0,1,BY EMAIL,ON HOLD,WAITLIST,n,1,11edc5677@blahh.com
1/1/2016 3:13,57076,SD,Request Type 2,m.rug.com,85500,2,104,10,83,50,32,2,BY EMAIL,ON HOLD,WAITLIST,n,1,123delgado67@blahh.com
11/11/2015 22:13,8076,NJ,Request Type 1,app.rug.com,76500,2,105,10,80,50,31,3,BY PHONE,CALLED,VIP,n,1,14792266002@blahh.com
10/21/2015 2:13,26047,WV,Request Type 1,m.rug.com,150900,2,105,13,83,32,28,1,BY PHONE,ON HOLD,WAITLIST,n,0,1222lynnann@blahh.com
1/11/2016 21:13,96555,AP,Request Type 2,www.rug.com,106100,0,99,13,82,27,28,2,BY PHONE,CALLED,WAITLIST,n,1,1985crp@blahh.com
1/10/2016 15:13,54082,WI,Request Type 2,www.rug.com,189500,0,104,12,82,27,32,1,BY EMAIL,CALLED,VIP,y,1,11edc5677@blahh.com
11/9/2015 17:13,15147,PA,Request Type 1,www.rug.com,171500,1,104,12,81,50,30,2,BY EMAIL,CALLED,VIP,n,1,18john_a@abcds.k12.ia.us
11/23/2015 4:13,43828,OH,Request Type 2,m.rug.com,112500,0,106,12,82,27,29,3,BY EMAIL,ON HOLD,VIP,n,1,18john_a@abcds.k12.ia.us
11/28/2015 17:13,33807,FL,Request Type 2,m.rug.com,125200,2,106,11,83,45,0,2,BY PHONE,ON HOLD,WAITLIST,y,1,18hiltc@abcds.cn
11/20/2015 1:13,91786,CA,Request Type 2,www.rug.com,141600,2,102,12,82,32,30,2,BY EMAIL,ON HOLD,WAITLIST,n,1,1973n2000@blahh.com
12/16/2015 11:13,27556,NC,Request Type 1,m.rug.com,121000,2,104,11,83,32,30,3,BY PHONE,ON HOLD,WAITLIST,n,0,1222lynnann@blahh.com
11/7/2015 4:13,38305,TN,Request Type 1,www.rug.com,110400,2,100,14,80,45,28,2,BY PHONE,CALLED,VIP,n,0,123delgado67@blahh.com
12/20/2015 23:13,78019,TX,Request Type 2,app.rug.com,132000,1,106,13,81,32,31,3,BY PHONE,ON HOLD,VIP,n,1,123delgado67@blahh.com
10/15/2015 22:13,15542,PA,Request Type 1,www.rug.com,193100,1,106,14,80,50,32,1,BY EMAIL,ON HOLD,VIP,y,1,123delgado67@blahh.com
10/1/2015 12:13,45332,OH,Request Type 2,app.rug.com,117800,3,100,11,83,24,31,1,BY PHONE,CALLED,VIP,n,1,1973n2000@blahh.com
